Game,Câu hỏi,Đáp án
Rise of Kingdoms,Ashoka Đại đế là vị vua của vương quốc Ấn Độ cổ đại nào?,Maurya
Rise of Kingdoms,Chỉ huy nào được biết đến với tên gọi “Búa Bất Diệt”?,Charles Martel
Rise of Kingdoms,Công trình nào sau đây là công trình kinh tế?,Trung Tâm Liên Minh
Rise of Kingdoms,Kỹ năng nào sau đây KHÔNG phải là một trong các kỹ năng của Tào Tháo ?,Trận Chiến Đau Buồn
Rise of Kingdoms,Nền kinh tế Ai Cập chủ yếu dựa vào điều gì?,Nông nghiệp
Rise of Kingdoms,Ai là người đã chinh phục “Vương quốc Vandal và Alan” trong chiến tranh Vandal?,Belisarius
Rise of Kingdoms,Động vật lớn nhất hành tinh là?,Cá voi xanh
Rise of Kingdoms,Richard Tim Sư Tử và Saladin đã ký thỏa thuận ngừng bắn vào năm nào?,1192
Rise of Kingdoms,Gà trống Gaul là biểu tượng quốc gia chính thức của nước nào?,Pháp
Rise of Kingdoms,Biệt danh trong trò chơi của Cleopatra VII là gì?,Nữ Hoàng Ai Cập
Rise of Kingdoms,"Trong truyền thuyết Arthur, nữ hoàng Guinevere đã yêu Hiệp Sĩ Bàn Tròn nào?",Lancelot
Rise of Kingdoms,Hoạt động nào dưới đây KHÔNG thưởng Tín Dụng Cá Nhân?,Tấn công Người Man Rợ
Rise of Kingdoms,Thành phần chính trong muối là gì?,Natri clorua
Rise of Kingdoms,"Trong Chiếc Rương của Thần Osiris, Chiếc rương cần được lấy ở đâu?",Một tòa nhà không phải của kẻ địch
Rise of Kingdoms,Cầu Dom Luís I của Bồ Đào Nha nối liền hai thành phố nào?,"Porto, Vila Nova de Gaia"
Rise of Kingdoms,Đế quốc Mughal đã mang đạo Hồi đến đâu?,Hầu hết Ấn Độ
Rise of Kingdoms,Nhân vật nào sau đây KHÔNG phải là một trong “Ngũ Hiền Đế” của triều đại Nerva-Antonine trong lịch sử La Mã cổ đại?,Commodus
Rise of Kingdoms,"Được tạo ra lần đầu tiên ở Hy Lạp cổ đại, lời thề Hippocrates áp dụng cho nghề nghiệp nào?",Bác sĩ
Rise of Kingdoms,Tài nguyên nào sau đây không có trong quần jean?,Chì
Rise of Kingdoms,"Trong truyện tranh của hãng DC, tên thật của Batman là gì?",Bruce Wayne
Rise of Kingdoms,Ai đã viết “Yến Hội”?,Plato
Rise of Kingdoms,Tháp Kim Mậu ở Thượng Hải cao bao nhiêu tầng?,88
Rise of Kingdoms,Công ty Walt Disney có trụ sở tại bang nào?,California
Rise of Kingdoms,"“Trận Phì Thủy”, trận đánh mà một số lượng nhỏ binh lính đã chiến thắng một lực lượng khổng lồ hơn hẳn, diễn ra vào thời đại nào của lịch sử Trung Quốc?",Nhà Đông Tấn
Rise of Kingdoms,Công nghệ nào nằm ngay trước Kiếm Sĩ?,Gia công sắt
Rise of Kingdoms,"Pierre de Coubertin, người sáng lập Ủy ban Olympic Quốc tế, đã giữ danh hiệu nào?",Nam tước
Rise of Kingdoms,Chỉ huy nào thường được coi là minh chứng cho lý tưởng của “Tinh thần Bushido”?,Kusunoki Masashige
Rise of Kingdoms,Phát minh nào sau đây KHÔNG ra đời trong cuộc Cách Mạng Công Nghiệp lần thứ nhất?,Điện thoại
Rise of Kingdoms,Ai đã giết Hector và Achilles đã chết như thế nào?,"Achilles, Mũi tên xuyên qua gót chân"
Rise of Kingdoms,Xu đạp du nhập vào Châu Âu vào thế kỷ nào?,Thế kỷ 19
Rise of Kingdoms,Tiểu thuyết Tam Quốc Diễn Nghĩa bắt đầu tại gần cuối triều đại nào của Trung Quốc?,Hán
Rise of Kingdoms,"Somme, chiến trường khét tiếng nhất trong Thế Chiến Thứ Nhất, nằm ở quốc giá nào?",Pháp
Rise of Kingdoms,Công nghệ nào sau đây KHÔNG phải là tiền đề của Công Nghệ Quân Sự Bản Đồ?,Đạn Đạo
Rise of Kingdoms,Nhà soạn nhạc nào đã viết vở opera “Chiếc nhẫn của người Nibelung”?,Wagner
Rise of Kingdoms,"Chỉ huy nào sau đây là người cai trị thực sự vương quốc của mình, nhưng chưa bao giờ chính thức là một hoàng đế?",Charles Martel
Rise of Kingdoms,Cuộc Chiến Trăm Năm giữa Anh và Pháp kéo dài bao lâu?,116 năm
Rise of Kingdoms,"Trong thần thoại Hy Lạp cổ đại, ai là cha của Hermes?",Zeus
Rise of Kingdoms,"Khi Achilles từ chối chiến đấu, Patroclus đã mặc áo giáp của Achilles, chiến đấu với quân Troia và chết, Patroclus bị giết bởi ai?",Hector
Rise of Kingdoms,Minamoto no Yoshitsune đã cùng ai xây dựng một đội quân để chiến đấu với Taira no Kiyomori?,Minamoto no Yoritomo
Rise of Kingdoms,Tác phẩm của dàn nhạc “1812 Overture” được sáng tác để tưởng nhớ chiến thắng của ai?,Đế Quốc Nga
Rise of Kingdoms,Căn bệnh nào sau đây có thể là do thiếu Vitamin D?,Còi Xương
Rise of Kingdoms,Spartacus khi còn là nô lệ đã làm công việc gì trước khi lãnh đạo cuộc nổi dậy của nô lệ lớn nhất ở La Mã đổ đại?,Đấu sĩ
Rise of Kingdoms,Chỉ số nào sau đây giảm xuống có thể biểu thị trạng thái gần hơn với trạng thái chân không?,Áp suất không khí
Rise of Kingdoms,Tại sao y tá người Anh Florence Nightingale được gọi là “Người phụ nữ cầm đèn”?,Bà thường kiểm tra bệnh nhân vào ban đêm
Rise of Kingdoms,Hiệu ứng nào sau đây KHÔNG phải do kỹ năng của Æthelflæd,Chữa lành đơn vị bị thương nhẹ
Rise of Kingdoms,Công trình nào sau đây là công trình quân sự,Trại Trinh sát
Rise of Kingdoms,Quốc gia nào sau đây KHÔNG phải là một “quốc gia vùng đất thấp” của Châu Âu?,Vương Quốc Anh
Rise of Kingdoms,La Mã cổ đại và đế chế cổ đại nào đã chiến đấu trong Chiến tranh Punic?,Carthage cổ đại
Rise of Kingdoms,Chương trình “Late Show with David Letterman” được công chiếu lần đầu tiên vào năm nào?,1993
Rise of Kingdoms,Bảng chữ cái Hy Lạp có nguồn gốc từ hệ chữ viết nào?,Tiếng Phoenicia
Rise of Kingdoms,Nhà lãnh đạo quân sự Charles Martel KHÔNG được biết đến với chức vụ nào sau đây?,Lãnh đạo đơn vị kỵ binh
Rise of Kingdoms,Hoạt động nào dưới đây là một giai đoạn trong sự kiện Thống đốc hùng mạnh nhất?,Đánh bại kẻ thù
Rise of Kingdoms,"Trong thần thoại Bắc Âu, Cây Thế Giới là loại cây nào?",Cây tần bì
Rise of Kingdoms,Tù trưởng nào trong sự kiện “Khủng Hoảng Ceroli” giỏi về ma thuật độc?,Dekar
Rise of Kingdoms,Tên của eo biển Thổ Nhĩ Kỳ phân chia châu Âu với châu Á là gì?,Bosphorus
Rise of Kingdoms,Đơn vị nào nhận được lợi ích mạnh mẽ từ kỹ năng “Bật Thầy Chiến Lược” của Tôn Tử?,Bộ binh
Rise of Kingdoms,Công nghệ nào sau đây xuất hiện trước “Thuật Cưỡi Ngựa”?,Kỹ Luật Quân Đội
Rise of Kingdoms,Sự thích nghi đến từ?,Cả đột biến và tái tổ hợp di truyền
Rise of Kingdoms,FIFA World Cup được tổ chức bao lâu một lần?,4 năm một lần
Rise of Kingdoms,Biểu tượng nào sau đây KHÔNG phải là một phần trong lá cờ Mexico?,Lạc đà
Rise of Kingdoms,Điểm quy tụ của cuộc Thập tự chinh đầu tiên là ở đâu?,Constantinople
Rise of Kingdoms,Chỉ huy nào được biết đến với tên gọi Người chinh phục Hỗn mang?,Tào Tháo
Rise of Kingdoms,Cuộc chiến tranh giành vương vị nước Anh giữa nhà Lancaster và York của nước Anh là cuộc chiến nào?,Cuộc chiến Hoa hồng
Rise of Kingdoms,Công nghệ nào nằm ngay trước Kỵ Binh Hạng Nặng?,Áo giáp vảy cá
Rise of Kingdoms,Bộ luật nào của Babylon là bộ luật thành văn đầu tiên trong lịch sử được ghi lại?,Bộ luật Hammurabi
Rise of Kingdoms,Einstein đã xuất bản bốn cuốn Annus Mirabilis(“Bài Báo Kỳ Diệu”) vào năm nào?,1905
Rise of Kingdoms,Nước nào đăng cai Thế vận hội Mùa đông đầu tiên vào ngày 25/01/1924?,Pháp
Rise of Kingdoms,Thánh địa nào sau đây thưởng tốc độ hành quân?,Thánh Đường Gió Lốc
Rise of Kingdoms,Zarathustra trong bài thơ giao hưởng “Thus Spoke Zarathustra” đến từ nước nào?,Ba Tư
Rise of Kingdoms,"Chỉ huy nào nổi tiếng với câu nói, “Ta đến, ta thấy, ta chinh phục”?",Julius Caesar
Rise of Kingdoms,"Kể từ khi thành lập vào năm 1963, Ủy ban Chữ thập đỏ Quốc tế đã đoạt giải Nobel Hòa bình bao nhiêu lần?",3
Rise of Kingdoms,“Năm ánh sáng” là đơn vị đo?,Khoảng cách
Rise of Kingdoms,"Trong cuộc chiến thành Troia, chiến binh Hy Lạp nào đã giết Hector?",Achilles
Rise of Kingdoms,Nền văn minh nào có nhà vệ sinh công cộng đầu tiên?,La Mã cổ đại
Rise of Kingdoms,Ai là người đã sáng lập “Vương Quốc Malacca”?,Parameswara
Rise of Kingdoms,"Ở Tòa Thị Chính cấp 17 trở lên, các thống đốc có thể phái đi bao nhiêu đội quân?",4
Rise of Kingdoms,"Bạn có thể hỗ trợ đồng minh xây dựng/nâng cấp công trình, nghiên cứu công nghệ và chữa lành đội quân. Tuy nhiên, mỗi hành động hỗ trợ sẽ làm đầy bao nhiêu phần của thanh tiến trình?","0,01"
Rise of Kingdoms,Gai xương rồng thực chất là một dạng biến đổi của bộ phận khác nào của cây?,Lá
Rise of Kingdoms,Nếu một người đàn ông thuộc nhóm máu AB và một người phụ nữ thuộc nhóm máu B có con với nhau thì câu nào sau đây là sai?,Đứa con có thể thuộc nhóm máu O
Rise of Kingdoms,Cần bao nhiêu Điểm Hoạt Động hàng ngày trong “Cuộn Giấy Lucerne” để nhận phần thưởng manh mối Quà Tặng Hàng Ngày?,50
Rise of Kingdoms,"Theo thần thoại Hy Lạp, ai là người đã đánh bại Nhân Sư?",Oedipus
Rise of Kingdoms,Chiến tranh Kế Vị Áo diễn ra khi nào?,1740-1748
Rise of Kingdoms,Ngày Elbe là ngày diễn ra cuộc gặp gỡ của hai quân đội nào trong Chiến tranh thế giới thứ hai?,"Hoa Kỳ, Liên Xô"
Rise of Kingdoms,Tại sao ếch và các sinh vật khác sinh rất nhiều trứng/con?,"Càng sinh nhiều con, chúng càng có khả năng sống sót."
Rise of Kingdoms,Khương Tử Nha đã giúp thành lập triều đại nào của Trung Quốc?,Nhà Chu
Rise of Kingdoms,Ai được coi là “Cha đẻ của Thế vận hội Olympic hiện đại”?,Pierre de Coubertin
Rise of Kingdoms,Chỉ huy nào sau đây là một nhân vật trong Chiến tranh Trăm Năm?,Joan xứ Arc
Rise of Kingdoms,"Mốc địa điểm nào ở Sydney, Úc có hình cánh buồm?",Nhà hát Opera Sydney
Rise of Kingdoms,"Trong thần thoại Hy Lạp, mối quan hệ giữa Zeus và Hermes là gì?",Cha và con
Rise of Kingdoms,Cấp Tọa Thị Chính cao nhất có thể đạt được trong RoK là cấp cao nhiêu?,25
Rise of Kingdoms,"Trong trang XEM CHỈ HUY, chỉ huy giữ vai trò “Lính Cảnh Binh” nhận được hiệu ứng tăng gì?",Không có đáp án nào chính xác
Rise of Kingdoms,Khi tòa thị chính của thống đốc đạt cấp 25 thống đốc có thể xây bao nhiêu trang trại,4
Rise of Kingdoms,"Trong thần thoại Hy Lạp, đâu là điểm yếu duy nhất của Achilles",Gót chân
Rise of Kingdoms,Chính khách nổi tiếng nào là tướng quân đầu tiên của Mạc Phủ Edo vào cuối thời Chiến quốc Nhật Bản?,Tokugawa leyasu
Rise of Kingdoms,Hoạt động nào sau đây cho điểm hoạt động hằng ngày?,Đánh bại quân man rợ
Rise of Kingdoms,Tòa nhà nào sau đây không thể nâng cấp?,Trạm đưa thư
Rise of Kingdoms,Mũi tên chống trả dùng để làm gì?,Nâng cấp Tháp canh
Rise of Kingdoms,Ông già Noel đi trên chiếc xe trượt tuyết được kéo bởi con vật nào?,Tuần lộc
Rise of Kingdoms,Vua của vương quốc là người nào?,Thủ lĩnh của Liên minh đã chinh phục Đền thờ thất thủ
Rise of Kingdoms,Bộ thơ anh hùng ca “Iliad” của Homer tập trung vào các sự kiện xảy ra trong cuộc chiến hay trận đánh nào?,Cuộc chiến thành Troia
Rise of Kingdoms,"Ai đã đề xuất ý tưởng triết học “Tôi tư duy, nên tôi tồn tại”?",Descartes
Rise of Kingdoms,Làm thế nào để kiếm Điểm Công Nghệ Liên Minh?,Đóng góp cho nghiên cứu Công nghệ liên minh
Rise of Kingdoms,Kiến trúc nào sau đây được xây dựng theo lệnh của Shah Jahan để tưởng nhớ người vợ Mumtaz Mahal?,Taj Mahal
Rise of Kingdoms,Thành phố nào sau đây ở Brazil đã đăng cai Thế Vận Hội Olympic?,Rio de Janeiro
Rise of Kingdoms,Nhà thiên văn nào đã đề xuất thuyết nhật tâm vào thế kỷ 16?,Nicolaus Copernicus
Rise of Kingdoms,Nhà thám hiểm người Bồ Đào Nha là người Châu Âu đầu tiên đi thuyền đến mũi phía nam Châu Phi?,Bartolomeu Dias
Rise of Kingdoms,Chỉ huy Lohar sinh ra ở đâu?,Một bộ lạc man rợ xa xôi
Rise of Kingdoms,"Ngoài “Số Trinh Sát” và “Sức Mạnh”, thông số nào sau đây của Trại Trinh Sát cũng có thể được nâng cấp?",Tốc Độ Hành Quân của Trinh Sát và Phạm Vi Do Thám
Rise of Kingdoms,Tại sao bệnh scurvy từng là một vấn đề thường thấy đối với các thủy thủ?,Thiếu trái cây tươi và rau quả trong những chuyến đi dài
Rise of Kingdoms,Hoạt động nào sau đây KHÔNG cho điểm Kinh nghiệm chỉ huy?,Tấn công người chơi khác
Rise of Kingdoms,Loại đơn vị nào chống Kỵ binh hiệu quả?,Bộ binh
Rise of Kingdoms,Hoàng đế của Đệ Nhất Đế chế Pháp là ai?,Napoléon Bonaparte
Rise of Kingdoms,Ai là người được Ấn Độ trao danh hiệu “Mahatma”?,Mohandas Karamchand Gandhi
Rise of Kingdoms,"Ở Ai Cập Cổ Đại, điều nào sau đây KHÔNG phải là một đặc quyền của “Người ghi chép”?",Miễn chi phí khám chữa bệnh nếu ốm đau
Rise of Kingdoms,Móng tay người được làm từ chất liệu gì?,Alpha-keratin
Rise of Kingdoms,Chủng người tiền sử có tên là “homo floresiensis” còn được gọi phổ biến bằng cái tên nào?,Hobbit
Rise of Kingdoms,Cầu thủ bóng đá Lionel Messi có thời gian phục vụ lâu nhất cho câu lạc bộ nào?,Barcelona
Rise of Kingdoms,Nhạc reggae bắt nguồn từ đâu?,Jamaica
Rise of Kingdoms,Ai là người đã nghĩ ra ý tưởng Ngựa Troia? Ai đã chiến thắng Cuộc chiến thành Troia?,Odysseus; Người Hy Lạp
Rise of Kingdoms,Câu hỏi Học Giả Vô Song Rok,️ Câu
Rise of Kingdoms,"Sau khi học viên Vườn Trí Tuệ Lyceum học xong bài, họ sẽ trở về công trình nào trong thành phố",Học Viện
Rise of Kingdoms,Năm nhuận có bao nhiêu ngày?,366 ngày
Rise of Kingdoms,Chủ đề thành phố nào trong giống như một phương tiện giao thông?,Ngự hải chinh phong
Rise of Kingdoms,"Trong truyện tranh của hãng DC, Nhân vật Batman tên thật là gì?",Bruce Wayne
Rise of Kingdoms,"Trong Rok, chỉ huy nào sao đây giỏi dẫn dắt đơn vị bao vây?",Margaret I
Rise of Kingdoms,Toà thị chính phải đạt cấp bao nhiêu thì mới có thể lên Thời Kỳ Đồ Sắt?,Cấp 10
Rise of Kingdoms,“Machu Picchu” là di tích nổi bật của nền văn minh nào?,Người Inca
Rise of Kingdoms,“Đồng Vạn Thành” là thủ đô của dân tộc nào ở Trung Quốc cổ đại?,Người Hung Nô
Rise of Kingdoms,Việc giảm số liệu nào sau đây có thể cho thấy trạng thái chân không đang ngày càng gần hơn?,Áp suất không khí
Rise of Kingdoms,"Theo câu chuyện về Sói cái trong thần thoại La Mã, điều gì đã xảy ra với cặp song sinh mà cô nuôi dưỡng, Romulus và Remus?",Romulus trở thành người sáng lập và vị vua đầu tiên của Rome
Rise of Kingdoms,"Ưu điểm của máy in của Johannes Gutenberg bao gồm tất cả những điều sau đây, ngoại trừ",Tăng quyền lực của nhà thờ
Rise of Kingdoms,"Sau khi Venus Flytrap bắt côn trùng, nó tiêu hóa và hấp thụ con mồi như thế nào?",Mặt trong của lá tiết ra dịch tiêu hóa
Rise of Kingdoms,"Sau khi thành lập vào thế kỷ thứ 6 trước Công nguyên, cơ quan nào của Cộng hòa La Mã đóng vai trò là quốc hội tư vấn?",Thượng viện
Rise of Kingdoms,Lịch sử Ai Cập cổ đại trải qua bao nhiêu vương quốc?,"3 – Cũ, Trung, Mới"
Rise of Kingdoms,"Ngoài “Số lượng Hướng đạo sinh” và “Sức mạnh”, thông số nào sau đây của Trại Hướng đạo cũng có thể được nâng cấp?",Phạm vi thám hiểm và tốc độ trinh sát tháng 3
Rise of Kingdoms,Vật phẩm Quân đánh lạc hướng làm giả thông tin nào sau đây cho trinh sát kẻ thù?,Số lượng đơn vị trong thành phố của bạn
Rise of Kingdoms,"Trong sự kiện Khủng hoảng Ceroli, tù trưởng nào giỏi về ma thuật độc",Dekar
Rise of Kingdoms,"Ngoài “Số lần bạn có thể được giúp đỡ” và “Sức mạnh”, thông số nào sau đây của Trung tâm Liên minh cũng có thể được nâng cấp?",Năng lực quân tăng cường
Rise of Kingdoms,Ashoka vĩ đại là vua của vương quốc cổ đại nào?,Triều đại Maurya
Rise of Kingdoms,Ở cấp độ VIP nào bạn có thể mở khóa vĩnh viễn hàng đợi tòa nhà thứ hai?,Cấp 6
Rise of Kingdoms,"Trước khi lãnh đạo cuộc nổi dậy nô lệ lớn nhất của La Mã cổ đại, Spartacus là gì?",Đấu sĩ
Rise of Kingdoms,Bông cải xanh giàu vitamin nào?,Vitamin C
Rise of Kingdoms,Gai xương rồng thực chất là một dạng biến đổi của bộ phận nào khác của cây?,Lá
Rise of Kingdoms,Charles Macintosh đã chế tạo ra phiên bản đầu tiên của áo mưa từ chất liệu nào?,Cao su
Rise of Kingdoms,"Định dạng hài kịch phác thảo xuyên âm của Trung Quốc bắt nguồn từ ba địa điểm: Tianqiao ở Bắc Kinh, Quanty Bazaar ở Thiên Tân và ở đâu ở Nam Kinh?",Fuzimiao
Rise of Kingdoms,Thiên Đàn của Trung Quốc được xây dựng dưới triều đại của vị hoàng đế nào?,Hoàng đế Vĩnh Lạc (Chu Di)
Rise of Kingdoms,Cuốn sách las của Darwin chủ yếu thảo luận về ảnh hưởng của loài nào đến đất?,Giun đất
Rise of Kingdoms,"Trong thời Chiến Quốc của Trung Quốc, nước nào đã đánh bại sáu nước còn lại và xây dựng nên đế chế Trung Hoa thống nhất?",Tần
Rise of Kingdoms,"Trong thời Phục hưng, tại sao Florence lại có ý nghĩa quan trọng?",Nơi sinh của thời Phục hưng
Rise of Kingdoms,"Trong Chiến tranh Punic lần thứ hai, trong trận chiến nào Hannibal đông hơn rất nhiều đã đánh bại quân đội La Mã?",Trận chiến Cannae
Rise of Kingdoms,"Trong cuộc chiến thành Troy, chiến binh Hy Lạp nào đã giết Hector?",Achilles
Rise of Kingdoms,Đấu trường La Mã được hoàn thành vào triều đại của hoàng đế nào?,Tít
Rise of Kingdoms,Trong mùa nào đêm tương đối ngắn và ngày tương đối dài?,Mùa hè
Rise of Kingdoms,"Edward VIII trở thành Vua nước Anh vào tháng 1 năm 1936. Cuối năm đó, ông từ bỏ ngai vàng vào tháng nào?",Tháng 12
Rise of Kingdoms,Nền kinh tế Ai Cập chủ yếu dựa vào cái gì?,Nông nghiệp
Rise of Kingdoms,Nền kinh tế Ai Cập chủ yếu dựa vào?,Nông nghiệp
Rise of Kingdoms,Người Ai Cập làm giấy từ chất liệu nào?,Giấy cói
Rise of Kingdoms,Ngày Elbe là cuộc gặp gỡ của hai đội quân nào trong Thế chiến thứ hai?,"Mỹ, Liên Xô"
Rise of Kingdoms,Anh trai của Zeus,Poseidon
Rise of Kingdoms,Trang bị có phần thưởng tài năng đặc biệt sẽ được tăng cường thuộc tính bao nhiêu phần trăm khi trang bị cho người chỉ huy có tài năng tương ứng?,30%
Rise of Kingdoms,"Kính mắt được cấu tạo từ thạch anh, cát và những gì?",Dầu mỏ
Rise of Kingdoms,Vị tướng đầu tiên của Mạc phủ Edo?,Tokugawa Ieyasu
Rise of Kingdoms,"Edward Jenner, cha đẻ của ngành miễn dịch học, đã phát triển vắc-xin cho căn bệnh nào?",Bệnh đậu mùa
